,A/Switzerland/9715293/2013,A/Hong_Kong/4801/2014,A/Texas/50/2012,A/Victoria/361/2011(Ivr-165),A/Newcastle/67/2016,A/Estonia/91621/2015,A/Utah/11/2011,A/Gambia/G0071436/2012,A/Hanoi/Eli15597/2015,A/Heilongjiang-Xiangyang/1134/2011,A/Perth/16/2009nib-64,A/Tasmania/1018/2015,A/Alaska/251/2015,A/Singapore/Infimh-16-0019/2016,A/Kansas/ 14/2017,A/Wisconsin/16/2015,A/Hong_Kong/3089/2017,A/Nagano/2153/2017,A/Sweden/3/2017,A/Moramanga/1907/2017,A/Helsinki/823/2013,A/Helsinki/941/2013,A/Ohio/13/2017,A/Ohio/62/2012,A/Ontario/Rv3236/2016,A/Indiana/08/2011,A/Minnesota/11/2010
A/Dakar/14/2014,12404.00964,16921.91634,20745.89832,4954.322888,1638.486853,11360.41771,8478.932139,1921.372394,1095.186026,4835.166935,5552.140747,4965.233628,821.6037893,457.5690393,3495.673248,442.2314244,780.4324344,50.69463206,267.2628681,270.3100803,983.8717815,996.6532088,527.9270785,1069.006847,6572.898396,584.0667781,765.9477091
A/Portoalegre/Lacenrs-2376/2014,21598.80812,15596.96496,16319.59253,3530.318551,1443.44303,2901.894985,3562.500711,2800.831721,2240.698986,4330.095234,5000.826089,622.1265227,2022.132129,691.0382568,1349.951898,764.5371094,724.9823304,195.8709904,229.6632706,291.5135495,233.5732264,1024.428081,456.3773099,561.2666515,225.157662,22.85208369,245.1280137
A/Utah/11/2011,6121.81427,6591.422395,6253.203362,3392.470472,1570.032869,3727.547167,2893.701962,1294.675278,2496.323186,4050.662957,2196.667164,375.9805021,1150.912106,212.4420586,838.9287682,752.9580392,215.9362135,42.6654046,141.7440413,265.4666698,100.4330272,549.0944692,208.9482217,1246.743751,922.834141,240.0495898,466.7172596
A/Hokkaido/10h079/2011,4021.538402,4415.097441,5068.492195,1590.08235,627.534623,4268.838831,1152.445122,588.1147357,599.9493312,1295.943608,1148.203142,295.9441437,772.2205907,234.3508845,1540.22665,465.6809982,128.4835638,10,188.6827748,34.11007893,137.6117936,156.8200846,97.49825182,121.424994,143.3636761,50.54829171,281.5030592
A/Gambia/G0071436/2012,5513.74401,6192.036288,5040.026741,1226.457648,1492.343621,6342.869005,772.9177196,730.2444429,863.5247021,1810.187619,1399.402814,836.9412597,887.9896644,390.8321638,1688.193456,532.3245907,694.7609792,37.34873396,174.5649455,139.2144781,296.9192947,470.3560284,233.6723854,154.3575358,423.4604541,157.8264304,709.267183
A/Hanoi/Eli15597/2015,4635.191182,8150.463018,6232.059448,872.7195848,1616.980072,7192.271039,1023.446035,1343.280232,1821.984905,1969.935664,1168.269595,1306.963901,2383.390184,225.939834,637.352411,629.8405445,592.6739852,152.6461198,318.2337615,174.4329678,216.5316702,209.4925669,615.2381975,207.1165422,556.5010644,1205.844592,669.2160045
A/Heilongjiang-Xiangyang/1134/2011,3506.30732,3480.220646,5122.973806,3514.295553,356.0269115,976.6666341,1657.070335,245.899407,557.9399811,7094.759617,2056.730504,168.2731663,477.4435925,79.93240328,1195.676916,257.2735833,65.10181044,10,77.13633774,34.88711088,475.1730962,75.99801816,236.6705117,1330.237652,70.62908789,48.14622358,127.2254659
A/West_Virginia/17/2012,640.0006176,741.2472856,445.6900041,379.1565877,84.62867017,74.2484607,303.0321131,90.34512862,161.6615341,200.5912815,159.2870639,37.79250888,147.5164767,10.39862583,197.5199939,93.43655148,78.10315825,10,26.02288625,33.02831207,140.1562182,2115.362499,28.38877383,275.7914504,10,10,10
A/Perth/16/2009nib-64,4961.807377,13871.95005,8102.735137,2771.214374,630.2765655,3502.479189,2644.484581,1079.460679,441.5960273,1663.804086,2458.442753,418.3539609,885.1071782,263.1196131,408.9419242,535.4523114,249.8041393,14.42067471,102.4554591,103.6799434,552.5381719,519.6044107,250.2187287,418.184637,81.22884377,113.5857387,161.1257904
A/Tasmania/1018/2015,6503.606585,7894.21318,5204.553578,1298.08696,2335.264045,2927.712567,1349.143477,6451.607152,2374.20889,709.0831564,2659.227316,1150.498937,645.3282446,714.5782174,1900.055904,342.3237971,1149.819174,178.7782545,321.5008504,551.20104,363.0547066,1440.350588,407.3829131,2702.156694,819.1314356,463.8044726,689.937301
A/New_Caledonia/23/2016,6299.990747,10732.0006,6394.882428,758.9710398,851.0997397,3305.065232,2484.053416,847.0825267,953.0526042,825.0531381,1259.31875,1040.775589,2167.362113,555.2393054,2915.095666,737.2905283,2010.196062,223.9323237,625.574141,245.5123486,148.2944509,313.8631361,52.04153834,91.31709705,71.35079908,979.4100456,76.25015174
A/Alaska/251/2015,7291.729453,8216.464546,7274.751923,1247.552025,1050.432062,7445.898156,1975.09847,348.6471823,1070.184175,1828.466061,1142.677263,2300.391926,2435.327202,655.6464579,3113.225815,1029.757863,579.2674077,451.3425131,764.4825296,396.5151369,114.028988,468.8762939,20.60723741,72.76157218,88.06151136,10,25.82465986
A/Hatay/4990/2016(Tr-08),5312.854174,3345.497688,2713.004291,2176.104806,1579.351596,2869.05367,481.8007648,109.940503,891.8269911,302.0104049,259.2331219,2176.590837,1451.622502,2863.346832,9612.105794,1673.187059,8090.335668,1468.400202,3877.690295,779.132688,493.6856705,544.6341409,27.79505059,19.57031603,49.87588507,14.84444681,241.9791115
A/Tennessee/18/2017,1529.008619,1323.905577,1085.631691,935.0837789,548.8623424,526.6551533,171.140011,703.9918914,260.4559585,152.4635636,236.4405155,455.9500047,767.8240865,2659.374996,1215.18254,375.4858229,3513.378494,265.0102305,2583.603046,3246.679493,54.02285681,1244.127251,136.0592898,577.3926327,216.8221398,10,29.49147182
A/Singapore/Infimh-16-0019/2016,2564.464634,3869.857803,3206.297839,1119.187701,1038.539163,732.672669,545.1541335,252.3184729,1308.71738,196.5044691,328.0568589,399.6223866,644.2866532,3746.225914,2196.051319,1772.650198,7210.872989,1390.561952,1637.541537,1258.195035,151.712426,2123.328142,94.55748006,282.5663801,68.91989377,10,122.2826297
